Target,Commit count
com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,1
com.google.javascript.jscomp.ClosureReverseAbstractInterpreter,1
com.google.javascript.jscomp.FunctionNames,1
com.google.javascript.jscomp.PotentialCheck,1
com.google.javascript.jscomp.PotentialCheckManager,1
com.google.javascript.jscomp.graph.GraphReachability,1
com.google.javascript.rhino.jstype.TernaryValue,1
com.google.javascript.jscomp.CodeChangeHandler,1
com.google.javascript.rhino.RhinoException,1
com.google.javascript.jscomp.Position,1
com.google.javascript.jscomp.FunctionInformationMapOrBuilder,1
com.google.javascript.jscomp.GoogleCodeRemoval,1
com.google.javascript.jscomp.SpecializationAwareCompilerPass,1
com.google.javascript.jscomp.AnonymousFunctionNamingCallback,1
com.google.javascript.jscomp.OptimizeCallGraph,1
com.google.javascript.jscomp.ObjectPropertyStringPreprocess,1
com.google.javascript.jscomp.jsonml.TagType,1
